Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

10-11-2018  7:32PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  adder.ngd
output file: adder_pad.csv
Part type:   xc9536
Speed grade: -5
Package:     pc44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,TIE,,I/O,,,,,,,,,,
P2,TIE,,I/O,,,,,,,,,,
P3,Sum<2>,O,I/O,OUTPUT,,,,,,,,,
P4,TIE,,I/O,,,,,,,,,,
P5,Clk,GCK,I/O/GCK1,,,,,,,,,,
P6,TIE,,I/O/GCK2,,,,,,,,,,
P7,TIE,,I/O/GCK3,,,,,,,,,,
P8,B<3>,I,I/O,INPUT,,,,,,,,,
P9,En,I,I/O,INPUT,,,,,,,,,
P10,GND,,GND,,,,,,,,,,
P11,Sum<0>,O,I/O,OUTPUT,,,,,,,,,
P12,B<2>,I,I/O,INPUT,,,,,,,,,
P13,A<1>,I,I/O,INPUT,,,,,,,,,
P14,TIE,,I/O,,,,,,,,,,
P15,TDI,,TDI,,,,,,,,,,
P16,TMS,,TMS,,,,,,,,,,
P17,TCK,,TCK,,,,,,,,,,
P18,TIE,,I/O,,,,,,,,,,
P19,Sum<3>,O,I/O,OUTPUT,,,,,,,,,
P20,TIE,,I/O,,,,,,,,,,
P21,VCC,,VCCINT,,,,,,,,,,
P22,TIE,,I/O,,,,,,,,,,
P23,GND,,GND,,,,,,,,,,
P24,TIE,,I/O,,,,,,,,,,
P25,TIE,,I/O,,,,,,,,,,
P26,TIE,,I/O,,,,,,,,,,
P27,TIE,,I/O,,,,,,,,,,
P28,TIE,,I/O,,,,,,,,,,
P29,TIE,,I/O,,,,,,,,,,
P30,TDO,,TDO,,,,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,VCC,,VCCIO,,,,,,,,,,
P33,A<3>,I,I/O,INPUT,,,,,,,,,
P34,Overflow,O,I/O,OUTPUT,,,,,,,,,
P35,B<1>,I,I/O,INPUT,,,,,,,,,
P36,B<0>,I,I/O,INPUT,,,,,,,,,
P37,A<0>,I,I/O,INPUT,,,,,,,,,
P38,A<2>,I,I/O,INPUT,,,,,,,,,
P39,TIE,,I/O/GSR,,,,,,,,,,
P40,TIE,,I/O/GTS2,,,,,,,,,,
P41,VCC,,VCCINT,,,,,,,,,,
P42,TIE,,I/O/GTS1,,,,,,,,,,
P43,Sum<1>,O,I/O,OUTPUT,,,,,,,,,
P44,TIE,,I/O,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


